token_id,block_timestamp,block_number,transaction_index,liquidity_change,liquidity,transaction_hash
358055,2022-11-10T00:21:11,15936005,125,12569775988093231,12569775988093231,0xf5c6e6bfed44d2d70b238424a0e633def949665bfcb84cde7ef785fd371a3288
357833,2022-11-10T16:02:35,15940682,133,-336939278340361,0,0xc44fb6f4cfa59c00435e2febe41733931b63f4be70642f2aa8036226694216a8
358832,2022-11-10T16:07:23,15940706,73,235140732076096,235140732076096,0x3d72e7bcf47d73ffec58b8131fa7d1c8c463acc4b618ba474aa901c86afdf91e
359132,2022-11-10T22:20:35,15942564,100,283927880518806709,283927880518806709,0x3847c18bd58b534fe8d97c778d8ade2d1e71d4191e08fb794d65d561e8d21154
357830,2022-11-11T03:37:47,15944139,80,-4159240678451561,4159240678451562,0x68261f6def178cc0217a1b1e1f7fc37b47b701b44961507558587aea01348203
359132,2022-11-11T04:34:23,15944420,92,-283927880518806709,0,0x6f0c73a4a3995b0eb804ad89736a256a1b6f0ee8b98a7405efc328352c2a6161
359516,2022-11-11T06:37:11,15945029,79,1620602864035705,1620602864035705,0x045c25eaa84a2f52a3658a9a7e374a00e6308fe4b941bf30225a7d86013af81a
359516,2022-11-11T06:40:11,15945044,80,-1620602864035705,0,0x8c6b59648172b543b729a980836cd888c485989c48d3dbcb65230d9ace24a00c
288339,2022-11-11T10:32:35,15946203,131,-2222829146467322,0,0x0694012568979245dff67485a552a97724a3843ab8b15f52b8bdbb78d32b6550
360009,2022-11-11T18:46:11,15948652,346,1126477530393563,1126477530393563,0x8f0c7916420396e9428f553543f66f82d09851c631d24d1ad2edb831734b47ff
357339,2022-11-12T03:21:47,15951218,91,-187063154184721,0,0x5ac87a12815dab374ff5fb32f0a0cefc2df54617c4700fdeb6e6e36f1c0d0ed2
255007,2022-11-12T06:23:47,15952119,15,-546271892044347625,0,0x4fd0df2bafe260ed4329f3f5a05861700d9f0af365ff6dd3e4c74f89aa0a1fea
335610,2022-11-12T06:27:11,15952136,38,-48386382754085754,0,0x414811ecf65cec453e4837e037bd61a1f1ef324bc6970ce1fb7187b2795fe657
360541,2022-11-12T06:35:47,15952179,151,546284923602162570,546284923602162570,0x2f384418225c6eaef5cd6179e97d0e95e9e029ef5953009ec82b8f3d73759e53
357484,2022-11-12T16:39:59,15955186,90,-7558004025447236,0,0xd0cb4d25efe0a2ed9e4722a76d8f38326cd1ad38f51d724ed940e8c64c2d0e4e
361111,2022-11-12T18:22:47,15955699,63,742529961657701,742529961657701,0x7b82fc14bc768a6b917b978a93a0c818d89c20e0040261db409a2ee83a3932a5
361519,2022-11-13T05:24:23,15958992,52,191608404340430,191608404340430,0x25d7dbdfd7901bcca914470994ec4d86299e7ada6fb794d92266b8e696f75c6f
361519,2022-11-13T05:38:59,15959065,77,-191608404340430,0,0x7db1ad924dbf2032adc196b8fffc354e38e2ebecbbcba4ced995b030e0748301
362847,2022-11-14T13:20:59,15968534,209,170711387500332,170711387500332,0x0a7ccc6953813197b95fb438d6932e2a36a0f9912f5ad32ffcf752c797330560
363717,2022-11-15T11:50:35,15975250,4,55215301535952518,55215301535952518,0x69cfd1eb768ebb92f2af0489df126957ff625e0c46dbfdb7e5945d5bd1b2b83d
363766,2022-11-15T12:53:11,15975559,42,9169315997170745,9169315997170745,0x880e03a847aa655de65976b81388fee5ac523ef5fe81799583a0414b39c56295
363786,2022-11-15T13:17:59,15975683,122,10002890178731722,10002890178731722,0x637788efbf337fe222c10ea94fbcbcd8f9f718ced5a8416ad764f36418492458
363796,2022-11-15T13:31:11,15975747,44,6390735391967489,6390735391967489,0xd20e51adca7bcd8f2ef9801cd067fd92159f01461b765c3c4058abf50f49225b
364245,2022-11-16T01:37:11,15979352,58,3593475492477193,3593475492477193,0xd3f7b3cb29c75c96de303b1819e9ec88d7f647e0d503ca86b1b373e497d31ff6
355072,2022-11-16T02:36:11,15979647,198,-61532694796969,0,0xd8ebe6faddc0f9425bbfe2c2d96496e2a501a59ee8ef872d6b9b90c3d87fec5b
365269,2022-11-17T05:35:23,15987688,69,2142166500174845,2142166500174845,0x51af320df9a2f72a70dfd5bab02bd1359ca265a9a68135d48c7c2611895de3cd
364245,2022-11-17T10:13:11,15989071,73,-3593475492477193,0,0xd89dc36070a554171afec312176d49626c2b214706dad7aec407754cf04528e7
360009,2022-11-17T12:05:47,15989631,149,-1126477530393563,0,0xd4dbed57948811fcf204c16507c63b5348e9c995c2c524dc76c982bbbd21fc46
365491,2022-11-17T13:02:35,15989911,84,232032466208191,232032466208191,0x799f415bab47aa995a7db6b14410ae04c12f5fef7d0fd7b238534cd180db331a
365807,2022-11-17T20:35:47,15992163,145,9760454018,9760454018,0xbb16332d1218bcfdb4ce09b3c4b799c90b4697fb50c631e79e0fb14053e66387
365807,2022-11-17T20:37:11,15992170,86,9760454018,19520908036,0x3f41369983e6436eb21a438cc2d73dc1201862b94db022fef14985d727bbd160
357830,2022-11-17T21:52:11,15992542,85,-4159240678451562,0,0x8453f3b199bb56f1b35e74fcfcdf04344a10652d111ebaf7737ea409b234b564
365269,2022-11-17T22:37:23,15992767,41,-2142166500174845,0,0x345875eb2a7b69b506079cb5ed576715c2c63f2f389c98a700bd4ab04bcfc62d
366824,2022-11-18T15:16:47,15997739,109,703592964718027,703592964718027,0xc82f27c2271805bbd593256146456099aa66a03d256445a3e42b5c55ebca949e
367442,2022-11-19T04:56:23,16001813,73,49411192925,49411192925,0x0bef9d752fb3730e2022b1ed2c2c5208a19f2a3744d4d5b5db46362499044def
367512,2022-11-19T06:25:35,16002257,49,18834570212,18834570212,0xd86006cee7f13545bb5fed84988df6e6caaeeca1217fb591d4f6cb9a8bce66c8
367523,2022-11-19T06:43:23,16002346,0,9726559556864465423,9726559556864465423,0x7f26142c2424843545f09e608a3d20a7bdfd975b0a9820c82f3ae0f627f561b8
367523,2022-11-19T06:43:23,16002346,2,-9726559556864465423,0,0x7552da878e2a398e7bb9afd102ec84c86368a0297ad714906468f1b44544fe28
321928,2022-11-20T20:27:59,16013611,99,-4243812888674,0,0xcca785da7612cc9e1c8df16842dfbb61bf6e61450cd7398fcabbd87a408133ea
272805,2022-11-20T22:42:23,16014279,153,-35704332029373333,0,0x543b16c647e28f3631666329cf258cb286d4a3d50480cc514ef9f789483617c8
370009,2022-11-21T10:04:35,16017673,155,27936496229,27936496229,0xd6dcf8fdac69fae3ce3af0a59fb6e578bf74d27c00e7625280911e2147f96bf6
370440,2022-11-21T18:45:59,16020267,102,273654450647379,273654450647379,0xfeb886fe7ce832a04aa88fec10600f6cd2acdc9faebff8e7800b9ba25496768a
358055,2022-11-22T03:01:35,16022730,164,-12569775988093231,0,0xf4930b5d7ef8137cb33f802bca3a9afc8a513b435bfaa046ab55794fa76223a1
371950,2022-11-23T02:44:11,16029795,79,17413199619330969,17413199619330969,0xee92a18e862c58ce020bc85cd0ec805f00c4c9bd9bf40a7787d80fc388327d28
372607,2022-11-23T17:31:35,16034204,30,54706929171351,54706929171351,0xc322c14d32aa726eece4af84e5ed530143368d9130b51fac61ce348e52d093b5
372607,2022-11-25T03:36:11,16044355,59,-54706929171351,0,0x859d96f92632376fe075230c404fcad6caba8ee33e1d988c745fbd60a3ddd506
4817,2022-11-25T05:00:35,16044775,82,-10770445046914,0,0xa1e9e7392bd7e1539a599ccf31ec237d0242912e604274211b6a0007101364d6
374863,2022-11-26T03:16:11,16051414,107,11750361986,11750361986,0x9a41a676d4674f791d1f8f7855063c8e37ec2ef3023966864dc8a5701d35b9ef
376657,2022-11-28T04:12:59,16066015,35,8649674157,8649674157,0xc9ada9d0469ce5c315fb68ad6e193f237204fe5e560367229efdfa92fc253a0b
376725,2022-11-28T06:22:23,16066662,5,492097340145618,492097340145618,0xf03a8ff3294d7268b5d7045883b01dffdd35be0a602076c6136a32449f7c0fed
377063,2022-11-28T14:17:11,16069027,3,2409480812084,2409480812084,0xc679cb168720299110671d2eb95464bd24d965f2ce4d39234a205c6b2506c7ef
358832,2022-11-28T14:21:35,16069049,185,-235140732076096,0,0xaf8f9b81194fd7df57326e97d3ed0d72fa7bb69e26291d81bd49d4bf53530a1c
377063,2022-11-28T22:24:11,16071452,95,-2409480812084,0,0xfc0a21f8119662b647dbed033100a2b9bfd86468d5a599b915c5cea7add69565
377769,2022-11-29T06:29:59,16073865,82,115346520431889450,115346520431889450,0xfffa81e71ca16b52a61f4d13c58687f437c471ccb220e3401ca5b7cfec7f37e4
377957,2022-11-29T11:24:23,16075331,67,6018336306702,6018336306702,0x4c8286642af5f1c7330b96433baf6c344c0c71d0f1d27c56dd69b072eedb7d48
378271,2022-11-29T19:47:23,16077830,23,642837108301,642837108301,0xabde9b2a1edef09872451d4d74ac79e9279a74fef0d4acf631a6d2270ab9186d
378271,2022-11-29T23:33:23,16078951,54,-642837108301,0,0x72ff039dc0301c817b5c40bde97536150f4096565dc83a21f8b39a5f93841434
376725,2022-11-30T01:11:35,16079439,131,-492097340145618,0,0x3769f540bd1a5643b3463d197c0b50942d1c9c7e73fe152fd16d9fd14963bbdd
378473,2022-11-30T01:14:47,16079455,73,3328143358799008,3328143358799008,0x0641956b68a9079a3c84d89ff9060875d8c2428182117c476c72a669cd76c0e9
378520,2022-11-30T01:55:59,16079658,0,60231286157289194423,60231286157289194423,0xa9bc12761410d1123ae58832954ec13b2d54c0417a5f2b27f24ead0749b4353c
377769,2022-11-30T01:55:59,16079658,1,-115346520431889450,0,0x840efec7d91528304ec958a42870b467c0e7cd5bde97032f03bc173248f5f5b5
378520,2022-11-30T01:55:59,16079658,2,-60231286157289194423,0,0xf78def49a57f07d1d2799717033c53599ffb54699eb1b910e8bf54eba6867e37
378563,2022-11-30T02:49:11,16079924,205,105483001710597792,105483001710597792,0x70c253d15c9e1063d73c0bbc1ed235b8d1fcffee7699776f813c9ab65a165ab0
260226,2022-11-30T23:27:35,16086073,32,-1852938993707339,0,0xa38b8b4a7ea4f64f634058dd6e17c2fa330dc7dbc31633e10f93af279a83c82a
379513,2022-12-01T00:24:59,16086357,0,101936374258501345814,101936374258501345814,0xea4b062be1eba4f3d487b75bd6c64b5ea5696fea7477d37832f87f0868d49415
378563,2022-12-01T00:24:59,16086357,1,-105483001710597792,0,0x3ad0cbf3e9ccc64d575838605d96b6d8849204f73a9a2b6a3c26d3b899faa4f4
379513,2022-12-01T00:24:59,16086357,2,-101936374258501345814,0,0x5205d362afb644c974a262f7399dc732da1fbf6322471c734820daa414a55926
379562,2022-12-01T01:49:59,16086778,110,104877575587111268,104877575587111268,0x1457235477c6249b4db4a6b373062f01775816f43a4792c56027202a44ece639
370440,2022-12-01T06:12:59,16088089,89,-273654450647379,0,0xb81edb81d5cbf0999048c3baf252d10561232a9259aefe04882d49a4b99a6dc7
380381,2022-12-02T00:57:47,16093684,0,41404816557506932536,41404816557506932536,0xe0e8d9bb00f0aa7e2948a8a86156ddf7ae104bedd65c01b94accbe0247c6113c
379562,2022-12-02T00:57:47,16093684,1,-104877575587111268,0,0xcaaf250c3b6cdcdbd8d36ded7b52c1a713e970fc8fb0d91f8a740d8727ffe92a
380381,2022-12-02T00:57:47,16093684,2,-41404816557506932536,0,0x17daaf9c2160fd99ca83de33275161b178bc014f65fbc9c91b96683e4891cef5
380518,2022-12-02T05:56:11,16095169,111,110478791523732431,110478791523732431,0xd9b1ed2be6db0b2c093c65dfeaa92cdfedc55ee4d0d17f7bde50278f379e785a
380518,2022-12-03T00:09:11,16100609,161,-110478791523732431,0,0xd33823ae810602a9b4439e8a03267b21d718f1bbfc3cd8760b4d0ddea6a2b548
381124,2022-12-03T00:09:11,16100609,161,102177638384666504,102177638384666504,0xd33823ae810602a9b4439e8a03267b21d718f1bbfc3cd8760b4d0ddea6a2b548
381124,2022-12-03T11:51:35,16104104,46,-102177638384666504,0,0x06d7b8ae3e539baf1d16cc48453413da24f248b382482290ab172489d853ac3c
381792,2022-12-03T18:02:35,16105947,27,9473579382,9473579382,0x208580157ba3fa05ff569870fd1fb4a341c841893c10999c8f09f25e51751f84
382315,2022-12-04T13:50:23,16111851,95,12992367400136,12992367400136,0x7beb89d2b00ae5613ba0b87f3270b4299f3fd553532ff20d7347a2b9dab0171f
