pair_id,exchange_id,address,token0_address,token1_address,token0_symbol,token1_symbol,dex_type,base_token_symbol,quote_token_symbol,token0_decimals,token1_decimals,exchange_slug,exchange_address,pair_slug,fee
2833051,1,0x5e9a7fa19f13296b323b67b7182d6bbb460854c6,0x3ace749148d15e4459481d6b82557aa411d62a9e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,DAI,USDC,uniswap_v2,DAI,USDC,18,6,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,dai-usdc-2,30
2863379,1,0x65e10736a5698d1d8faa06caf65522d45bd8bf89,0x761c20644d5e9a2fc6a5f68e668cd8e7975b0c90,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,WETH,uniswap_v2,USDT,WETH,18,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,usdt-eth-3,30
2921745,1,0x92f438b9b7cf73a52ced8d86666c514c5b34ee9b,0xb26ea194a9bb6592aa130c54d22df3c9f119d896,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DAI,WETH,uniswap_v2,DAI,WETH,18,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,dai-eth-4,30
2933035,1,0x41bec72094ad283d66f2951c25501fae61332514,0xbf4bc5d32e2c0500e5ae4618255a78f25ea12565,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DAI,WETH,uniswap_v2,DAI,WETH,8,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,dai-eth-5,30
2937591,1,0x51e98704a13e6de2047c154d7919e9ec87fc832a,0x953974ebfb3f7aa6d64e4541bccb61d510ab92b3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DAI,WETH,uniswap_v2,DAI,WETH,9,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,dai-eth-6,30
3260912,1,0x1a34dd4122439ad038951530fb3996cec66dc4b0,0xa87e348043ad0349bd5f4685624a47141f2e990b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,WETH,uniswap_v2,USDT,WETH,9,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,usdt-eth-6,30
3264133,1,0x0da3ecdcab4005f31bf63b7ec5426009fb9981ba,0x6c2ba0a2115eec30ec2e61c7ac66b25aac1b0b1d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,WETH,uniswap_v2,WETH,WETH,9,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,eth-eth-20,30
3261085,1,0x3b27f55818ce5716f76223fab8ac986b29e435e9,0xbed89359643a2a7cad3731e8cd31e408576e87c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,WETH,uniswap_v2,USDT,WETH,9,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,usdt-eth-7,30
3146688,1,0xa20c0777e10b1b0b0b818547a04253a3fbd8a852,0x9ace1a64688c7167c8ec0982bbb291ac60f03831,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,WETH,uniswap_v2,USDT,WETH,9,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,usdt-eth-4,30
3145405,1,0xfb940c7873ea193d0e3497a3aa2dff14224f7edd,0x6c7d2396f7c9a8dc0f3bf8d1a69c9a80b35d01fc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,WETH,uniswap_v2,WETH,WETH,18,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,eth-eth-13,30
3149928,1,0x15b4cab2f60138b03c4cffe12909c271c0824871,0x53ae209c3c3609d87a748c2141ca3e5023e4a8a5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,WETH,uniswap_v2,USDT,WETH,9,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,usdt-eth-5,30
3146565,1,0x7dfe9c5c9c8f43989bab67df645eee442c9609d6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xebec0322c80501a53b40d39e08aca70cfd31641c,WETH,USDC,uniswap_v2,USDC,WETH,18,8,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,usdc-eth-9,30
